"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44"
"GSM4486031",-70.5779059278135,18.5946103044271,-47.1203392731167,54.5766928611917,-12.2834068143247,54.1962717675071,67.7425256839386,-12.7388195011601,-9.67238501711477,105.027108906348,29.9166146205799,-52.8681260492977,-69.1959238354733,10.3174852191433,22.0904255652412,26.4057384571517,10.6141450118993,27.9623674105131,-28.7794102267381,-13.0561853751147,-25.7178495365766,20.0938641878927,8.62266104579863,69.9306709288671,-37.8039774713544,-2.83694995796124,-12.1666231387732,22.5007613646354,23.8017640248214,37.0917275007137,-1.0411829180367,-6.60982020529743,-59.3959368977668,94.0627694103939,-21.5251985951634,-3.88704690808963,-9.61572506435693,5.11282853806862,12.7183336409355,-31.1235999687279,38.5070476351094,-13.9995892215846,4.24780698016976,-9.2745255919624e-14
"GSM4486032",-104.378483840625,16.9293747474994,46.1874147342563,30.150122785399,-0.230718463153909,-8.17941944913645,27.9065007942138,27.7067937529245,-2.25977358241717,-54.0135901983267,17.8429533775565,-33.2122948220403,34.223861022936,-55.6840207306988,90.9083675328266,63.6125197835908,-46.2357208773321,17.4661468699942,11.1245002139697,-11.0415228613912,19.2432996104501,-7.18996386677163,8.17401332643289,5.15435491070092,24.3480552787023,30.453424809421,-76.8075033658047,-34.0409742467506,-52.7683875644095,-2.17339462023615,-19.9194302979316,-3.61363273561584,-32.4794589150141,-61.9289290629486,76.8965579786856,6.4698563764165,-12.287435100988,-8.22473499754839,61.1814670503613,-12.014619190998,5.59050654027822,-1.9847506086998,9.03487080487761,-7.75490782700672e-14
"GSM4486033",-53.300678999472,23.196849758095,29.5685210315879,-68.1808993086193,-27.4961834145835,-11.0977096553268,-57.9875387651347,6.90410915632461,30.5928245542893,-12.6701212438884,41.1277502625833,72.3639838441671,-47.7747621851256,6.72191257749923,56.9534908054231,98.3467648965279,52.3662632510641,23.342803297976,2.49425111481465,-6.45768937770096,72.8841617226644,-41.9818457813881,22.6280245759657,-9.556966227166,18.4882224345344,11.8811539939465,102.459276443994,-3.33643042869085,66.0541002566487,-12.836030312221,-14.4261081136879,2.60684428462638,13.2013891193684,28.5595370280882,-25.5298934948134,-10.5342797184303,-29.4150062843477,17.1608677442483,12.2143952865523,-15.2226194793971,-2.27701910789257,12.9062104849051,18.6856456387275,-1.36030076092197e-13
"GSM4486034",-16.8594760874769,41.4923379781713,-17.2787247580257,-55.7825791772216,32.1411613149909,40.6208709395549,20.7301248472283,-41.7440447312659,13.7266375636233,-41.5764738130096,-28.2541336539129,15.0463514677758,-29.2463677477381,47.368266457268,56.3463019118318,-80.2033360166628,40.9714361962781,-8.33250430202035,-10.8504164398597,-76.5292688106258,7.74706316956663,-55.5811879583959,-93.1130415905177,9.00743042892402,1.9530873718599,12.2015432272184,15.1338143112508,21.2354009138049,-25.1680076055075,48.1569721218926,27.3410833349244,-41.742738497117,-8.15066235282129,-48.1090612493774,-3.96872919501215,-12.0140827937704,28.5962097569709,-87.9540205127909,-0.971272759179439,-12.4659514593726,54.7430557238837,0.560959853041956,8.69583981990662,-8.51402282009417e-14
"GSM4486035",-50.3395171426123,-42.9206451537378,21.2507598540277,76.5186392529737,21.8601290709613,-13.9939631690083,36.0889443833874,-25.8579153603864,118.287921185523,3.66848461372386,-38.6637489558014,48.9439795375499,-8.79405260714726,14.2895011633508,-9.76781904712621,-13.8281932270701,-46.5618569021396,-54.2469171111306,49.9113407127425,-25.3063258649098,-78.324346335701,28.0487857428403,-9.44682909848237,-6.23140627572853,80.8388854278438,-4.22511654821115,48.5190881209597,-62.3744330157784,38.3925431594204,-33.6842869938747,-2.68507710482919,-5.85584355173507,9.10748237793429,23.0391490703111,-13.3099423063567,-21.916961235691,-14.5458475415488,-34.7634063597992,11.7477359291664,5.40650503659856,1.87589864089296,2.85170347800671,-41.9850839341475,-8.80268080649671e-14
"GSM4486036",10.9441520976491,-13.0059954200644,-57.0533485093384,16.3773769620618,26.5393361590075,-48.6050665832458,6.231258630796,-33.6199957735297,23.8520807350051,-10.114584871026,-0.894715228375837,-4.18773590894638,-88.3314748147716,39.0365045824961,-32.627515592936,-4.97110973089444,40.2015005594709,-20.9320962515849,45.0123705646213,-48.1519616772577,9.69149314199535,-38.9831882186311,3.68399689779757,-1.8631014767013,-55.7506867784175,81.7178144431426,-52.4164651226803,-7.12884472436197,-0.460894018342907,29.6884898527137,-5.19558193369148,13.5140252812104,41.4660941805641,0.133688093171577,63.2203866883016,44.2724074510015,-56.6160161511122,49.2578038187542,28.7245195399283,25.7588629068974,-76.7542026837238,56.6436006450488,-25.7005538493676,-1.09051656593806e-13
"GSM4486037",-0.418406921036006,-0.214011485964228,8.14560267726045,43.939034586017,-32.6807382054326,-20.7736167010764,7.99927005116015,33.7389361576102,20.9413851727017,-53.5527051517226,-20.1108099083796,3.41745053499966,-7.26972795731472,7.64283664961808,21.7450017954595,-42.5334294904898,19.4850689239769,46.4532740292255,27.5569019123832,10.267505128485,-10.0673903982443,-35.899780359594,-10.6731114391593,-29.1941994094043,-101.342348639457,3.46673601387285,-11.5932917702532,-63.2188051198572,-28.5363499011196,-61.8202455497662,28.2019472889008,-55.205024685662,-0.343061598222574,14.8940260090767,-88.1835961707753,-1.66932436828399,-22.6613765181562,69.925365581658,13.7008848997339,48.7145903921331,43.0401849228209,-80.1343902228221,33.3114716298596,-8.13515921294083e-14
"GSM4486038",17.5424682496439,35.5297956654486,-71.023851421439,-22.2643626903227,142.575696500002,76.7494561554793,-0.880874290050504,2.49060008719765,53.905070065245,-58.082398581464,25.3997188863218,-26.1810630872875,86.2807212194887,-36.1679960401374,-24.5926630762754,22.1176047858223,30.1542018111059,19.1358694685694,-30.8295075060651,-29.0832966255811,-32.1912040099134,-41.5670607924532,33.8696658003752,24.018480824037,-13.5640923251673,-8.88400934383759,6.77570894679578,-3.32887355516692,19.0684861573945,-48.0755204828421,-23.5873050574892,30.4897838383096,-24.6334497066671,8.86579774470382,-18.6744366913441,-4.35760106512956,-7.79316282071101,21.9328981439953,-6.21768642386975,-25.4636205074297,-42.9464191384847,-27.1005031670082,-16.3545358736828,-1.18266507698195e-13
"GSM4486039",38.22267702869,-27.6119793431625,46.8793660516236,26.4578769136802,3.81046142074422,47.0947717798531,3.08990973957235,22.2344957756211,54.9154163712611,28.7043112826526,13.7287005129527,-18.8460829938539,-32.7789727876743,15.5570652074949,-14.9489953277858,25.3643931221649,57.5659779646317,29.140381300368,24.6168294562439,-9.44555322406066,52.8553533106781,36.3330513483099,10.7307782472483,10.7756511436983,-6.22841973895364,-52.3244662993776,29.477066487522,33.0092288376482,-85.8891438749435,-9.75098372611465,-29.7139070327256,-0.907170608836215,79.2252285668509,-12.2360201848435,72.1273875815996,27.3804929468024,5.65844706006209,-22.1413787702268,-18.4114711522323,-6.33279901536443,17.3455076296344,-102.812328927495,-64.9803122469477,-1.26045007764475e-13
"GSM4486040",13.7213374174819,28.6081513780349,-144.629347261204,8.42375715164729,-23.3622728078023,-101.367908955248,78.1925054960097,-24.9418556438777,-9.75726749822551,11.6926589929485,101.293474901924,52.595883676126,55.3022276656884,36.96660907891,10.6909125097528,3.03005008749596,13.2023266474434,12.3866568110996,0.374522948133437,29.3818761952219,31.8747517527179,26.7992907293855,-8.92442737649802,-49.2543849983912,36.7543033052996,-28.1809589198442,4.18798853109244,-19.1278055457081,-15.6938377356445,-13.7198014394721,2.98195480157848,-8.69908724683578,-2.6849533757551,-16.85714977566,21.6972998165831,-2.01440745499287,13.0792368622599,-1.13021439428546,-13.2722500779651,-14.5729512640618,28.262983512704,-18.9492896305844,-17.5803387663719,-7.07489622442381e-14
"GSM4486041",-61.6792485707645,-20.2536055618252,-29.0777770172319,19.1788166491279,-72.5578865276732,18.9095089478207,-26.0217456463079,-103.08638696068,34.2713658861409,50.347745082465,-49.7156715953456,-14.4606069488091,27.5453166658014,-31.3812456317504,-14.8054316597893,14.1361947224449,39.3160884119692,-30.802589004962,-78.1886040275854,-11.383115812809,59.6008579900329,12.6348862748821,-11.2612170511265,7.83581204279087,-5.72752586385521,-13.0559556309345,-22.0260914659783,-17.6578408467525,-15.6009368573282,-22.1613202526299,28.0328874136142,42.5787033137981,-4.00766982774301,-69.0894492708787,-35.1141079326128,-34.0101227123371,7.72566633537085,-1.10999525877668,-38.5043729839902,53.070027148003,-76.3285245759492,-26.6163984387778,23.0858588500289,-1.02085007114283e-13
"GSM4486042",34.5535294721798,-43.0274539107099,-105.182658101497,92.5353358727819,-23.2341983208507,57.7156357058922,-98.0006375088349,40.4282970545854,-15.4621333166179,-62.9083232470897,-15.3815830417061,64.5888314562937,-37.4920364351305,-30.8667623053997,26.8493302939068,35.2912154797606,-72.8192323492875,4.51690692593221,-8.56764859155323,31.3416467096816,12.7822778541895,-15.6513467715069,-40.3131200545109,32.3642293087764,9.27507383443267,-3.59278035998707,-17.8989087284818,35.6796943301879,25.7414544469299,37.9270934368526,35.7246688025026,-15.6976303558901,17.3488641133274,2.7045227840792,8.16748530039517,-5.83301219104301,39.9208052293189,-3.48661285717029,-1.80818644805815,-5.40871833620308,-7.02293422197098,-17.1443965238958,-21.8102449427165,-1.42927336632681e-13
"GSM4486043",33.999138309121,-62.4488389494915,24.1378109652207,1.59533535407345,-38.6880453035061,42.4226057952472,19.6993877863925,-11.8708730447026,-46.2163018709162,34.2396578110294,25.7909950560564,0.549952175990271,20.874471815397,26.5703080054293,3.63929301463429,-37.7153827881134,-58.0242660477847,-54.2370219980636,-55.9916983945089,-14.4159149271183,32.1696888153081,-87.3282243224357,13.936396063671,-4.4343305309257,-23.8337477452686,57.9035887270207,64.4947600979263,-38.1194680645615,0.729401149717978,-84.2812441765905,-27.8554888857344,-27.5198475222714,-51.7922239459469,22.5310910716187,66.2840377543883,40.4760893032871,56.811671351186,8.73733320834114,0.221320945453493,-10.592135802889,-8.82973331562049,-0.327616074696736,-25.605130883312,-8.68888294647263e-14
"GSM4486044",-6.19431097766348,-14.6193438924062,39.2213868283877,16.6752846947429,34.3174261669883,-8.99931933513066,9.1394861557347,-35.6266057468931,-17.9980851337441,35.5953264106418,-17.3481394671429,44.5694530402254,35.2465625401247,25.2529495494386,-23.1392728453296,5.32417727222425,-56.9120066685865,3.5921741632664,14.748238254079,19.683355752849,-1.48368575295745,-18.6970457377625,-71.7944633769837,28.7057448449972,-7.37207250850331,-2.81506630704865,3.46449702210353,64.513394065086,9.12309513356213,1.93214025187368,-42.9965490674722,-37.8831364852636,1.23744188847738,-50.318874484829,21.1252777607915,-18.6437898075791,-105.049989650315,75.4204749187109,-77.7096654016542,-74.3516212446322,6.13406233081937,-20.6716910568473,59.9043609561096,-8.3322237998118e-14
"GSM4486045",66.2782349509184,33.9452680894503,-5.36860578904078,-18.351434778782,-1.67391596802153,-35.8504959472184,-79.2188514943449,-53.3104925836762,-1.37281182863541,15.4166084602335,32.1156813161646,-21.0025490655972,-41.2782662129308,0.912486513524516,29.3935257857076,39.0893009851355,-62.9114717726324,-36.9002113014363,-32.5032363281885,-5.70806287711811,-51.2558732975781,18.5103544583389,-33.7175033635622,-11.2572060224363,-39.1781275332516,-10.1386406483151,-20.9890278589216,-38.6828784730225,-42.9471144389891,-18.300068918235,-116.903598324169,53.4732584460451,13.9264769089076,1.88307333244159,-58.4487993952659,33.4029272842168,-26.401463749004,-63.9052558938577,19.5337948353104,-8.23434786850946,29.1351191671906,-8.76686488303555,14.2732122998008,-8.3398565831061e-14
"GSM4486046",2.18941144396663,34.0442585910165,11.0444263520235,11.4422611635604,12.5683713366478,-71.4736888471857,-89.1689960430715,63.9695592523214,-34.8437374852972,22.1358806094204,11.7004185009197,-47.0637226267923,-49.5099055944879,16.0794511266565,-43.216515963867,-4.14840809556345,42.0219679457208,1.19500181079892,-30.8703448479229,-22.639911671402,-22.6470907058991,-55.5960989870375,14.7645901240589,40.955617464504,87.58015868357,-27.393122790998,-42.8358986050002,-57.4131460756842,-16.9525264312792,-30.9938452629486,23.3562291745716,-54.0621475014132,-43.3091582697415,2.66460314345258,21.1122762351302,-48.2965263791686,-21.6715456179571,-15.3329986140778,-77.5287610745587,1.53276486888468,1.77859311686373,-2.62125505680859,-23.6387754809726,-7.55645546135497e-14
"GSM4486047",-11.7115502331199,9.84805690074669,-27.477488190887,-13.4242410498845,-25.6533625336319,-18.1590040974732,-16.6915298735286,14.9545784883235,23.7898429273808,54.5012456421579,-44.7620648990166,-4.97442175936142,41.0822603827784,-43.1974132979542,39.2102171591472,-52.6794343978482,7.48633819485222,62.2315264272501,37.5261500085014,87.2256682118937,-51.0777698085695,-61.4475754459249,35.4855107078335,30.9663215595759,-76.5254038914476,-42.9959672590947,49.3849363634231,-46.5547240763237,14.2795006844032,46.7284528317134,-37.2329442131725,9.49709751482476,32.5828375782665,-18.4892715788694,64.6353102263818,-30.035631783011,2.48747603456127,-48.3192774589604,-22.5428858655288,7.00198943523365,-13.5484367947541,50.0941855498994,-0.512371057730257,-6.79317713192518e-14
"GSM4486048",-51.8949085160885,-156.200328632058,-25.8512164107985,-97.6466145696885,35.7000483903995,-33.1269572878254,0.144846765865043,-48.3878921518066,-22.2928950205404,-50.8737625441238,-24.472144645864,-62.9217927503051,-43.5434874941628,4.83454335650911,16.9757674805549,-21.4083754132892,-28.3665100596227,64.5217990836406,-17.8892959990703,32.4439975863691,-7.40802257451941,7.30914376323662,16.6107494510771,-36.4783657001161,30.6851735877322,-18.4418542449946,-26.4556496983285,25.2261211471999,28.4002434149387,-13.562265563688,-8.04997097474894,23.0121249581225,6.69577082779646,32.5109944516195,7.77767776176794,-0.437887027761424,-3.23831046523307,1.61832996523929,-27.5339443481638,14.7468860520699,34.5661795953345,-25.8605257752888,-12.572940804691,-1.15685239165941e-13
"GSM4486049",-21.0819185190542,-30.0709809159435,29.6824807143353,25.7304407155079,53.7583339552229,-34.3058656084106,-33.6704017911588,-12.8323137464678,22.8302773639345,-20.6641340068311,66.3605852204277,4.18888789488073,-13.8072615108818,-28.4431491197226,0.238533681453881,-1.31728864193824,20.1561454962856,-55.2606027920446,66.3665403224342,40.5723112240015,9.7133010757072,32.799145863341,5.3868394038189,43.1848745263941,-56.786193082187,-0.441949714777392,35.4518112158554,46.8567248363772,-48.7707390683818,-23.7373552730258,62.6626900286045,49.8657364441121,-81.678323535391,-19.712861757069,-8.88725654647706,40.0082272812038,39.7427485512613,-6.78632717276213,-66.8251963049135,28.0308511584039,46.8836132892931,63.3088559570508,18.0989229795276,-7.87356291276353e-14
"GSM4486050",16.9772145505045,-3.23213870050267,14.7743677419465,-41.2984271532266,21.4483816874278,7.03055497331897,-13.4166229539789,22.5792634561235,-35.6910742947784,35.4751390939724,-44.7628517618549,5.044360598381,13.9921554120739,75.0629946249692,16.4968513956726,60.9357278235441,5.17737122872517,57.8762775221138,44.8019992736479,35.5155210037813,-35.0270713273531,56.176757530431,-87.8798248790299,-41.9334659299851,-19.3679920059406,5.14364748221326,17.5386987876048,-16.899725644416,-29.5547929404226,-15.4881518014149,46.8662413807378,-2.7262610810936,-86.3309540259313,12.5808278979089,1.18218217547256,0.512694500334855,14.5797755722664,-25.8789746796303,27.0170900583013,-8.1208544090013,-111.523769643069,-10.7206604102103,-30.3124089062325,-1.06262221244435e-13
"GSM4486051",12.0211720541143,27.7425288341203,35.2144223015568,44.9796572353191,11.5835079197108,-32.5459465006597,-18.0087400992297,-2.84018450307855,-17.7976106736101,34.9097132253037,-25.0506695943571,-34.1882091045363,31.702395853708,-52.7986896958131,-26.8361596984873,-6.98763985839918,3.77657841938139,46.6780608078421,-50.4826940628667,8.46754725618568,15.7532073540356,-17.8273773919884,-36.8593080266855,-60.4787346462617,-1.79495018623456,64.6401795838582,31.9467376453141,11.1967356681807,38.7890869674886,25.4064233072702,59.7394460573559,62.4056919763453,4.56619556362156,-32.4207086373544,-28.3089668585458,23.8043688746922,-42.3920083748379,8.32516914164276,23.0759392300563,-29.3446782308584,74.4144053683654,11.3720728510418,-119.939272167679,-7.98111576827409e-14
"GSM4486052",13.5340607594183,32.2331365994872,49.1509760844576,-32.8982497207994,10.8224292905895,-25.3641509833113,10.3774303237716,-70.0118928869182,-1.46112083767101,-48.5973553943829,-29.0445170503351,-26.0398055594681,47.9670876772927,26.9568262413384,6.08999984684849,58.3812441309199,-26.1957016392429,-69.5141683817516,-4.98180848781083,21.1643047664454,26.130298311662,3.11214251597125,9.71429501895494,30.1026701995639,-30.2255620990591,-37.7840312239508,-19.4705704479279,-69.1752322655648,-1.09585557383844,100.936129792146,36.4993072713769,-42.0709642029097,33.3477735779927,67.8911088873576,-4.45220206695391,1.52980089148142,53.7471584730156,54.8651020597068,-36.1107290336621,-28.0664995665966,8.59509306303263,-4.52540991326856,-50.8856453672144,-8.99558205702533e-14
"GSM4486053",73.1911110260601,28.6570250050067,30.9799506412782,-12.9095806284528,13.2523954953394,-16.1202212637702,41.5988741901991,7.59183280639626,59.4251478146128,28.6707200571442,21.1268959314437,-46.247400506333,-54.3965074976915,-22.9059342605321,44.727473213057,-40.2614534091986,-69.191730816356,10.2963998670531,0.948152907313026,1.91815130207883,64.6963693640759,-27.1694287741089,-23.4607203729682,-0.215059926223638,18.9426224598729,-106.647701168804,-20.0677526327522,48.5309294658927,19.189235779742,-35.0491494650905,14.4000828715466,-2.45015323337923,-10.4970115735673,-18.6547814598085,-26.8237234060979,-49.489912489775,18.9456697875088,53.5159441268981,55.0273748627191,14.7879310081313,-40.9193060022301,59.9298238708993,-21.6063390592812,-8.22189538673967e-14
"GSM4486054",-36.9292784691177,-49.8488048159789,33.7873231376689,55.585386832516,-18.1007206407501,-2.18163888861037,2.941416312997,-11.9561268125678,-52.0762555593368,-32.4536593972698,24.0716232988543,35.4488267213828,-11.0297034434664,-6.40316803669612,-20.4179961659195,-22.1632573259993,58.9776984670708,22.413510721571,-44.4683291724737,-24.0821943071693,-69.0778024205037,-29.71318321969,22.4920114917233,-43.472988957742,15.5971264959911,-76.8384162403852,19.2676064427078,11.3006249132237,-72.9823262083718,29.1545630749712,-11.6135133124851,5.58932312864199,24.0536771443326,-8.22777459283011,-48.6933810988801,30.9151456066166,38.1333484514028,32.206066939963,35.4544279375118,-94.6668775384235,-47.3780098648197,59.653992744769,12.2754695945222,-9.39248678832882e-14
