"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13"
"Mmus_BAL-TAL_LRTN_BSL_Rep1_B7",-13.5194009416196,16.6626972669084,-33.2566866793556,23.9248047779423,-6.13535417694022,25.4365726766961,-6.70827380294683,9.12899205465373,-10.0334128371494,2.05222278820354,5.99232099479229,8.16889480562879,1.77913239696181e-14
"Mmus_BAL-TAL_RRTN_BSL_Rep2_B8",3.92761356895104,12.2734507483463,-26.8823663832271,-36.5573106598409,14.1373731448172,-6.28496410680631,11.2760487837427,-5.53525244005528,-3.58975434724412,-1.16465000195434,-15.8133519656679,11.3862184925467,2.1538326677728e-14
"Mmus_BAL-TAL_RRTN_BSL_Rep3_B9",-11.2391380113204,-3.55658023380699,-14.4413277343903,1.24447780504119,12.447892180229,-14.5093311387752,-21.0203894444641,4.6117780848309,13.7341565092893,12.4131587136048,-3.65471781373986,-33.5615139870644,2.03725925018716e-14
"Mmus_BAL-TAL_RRTN_BSL_Rep4_B10",-20.7599322655963,14.8247869741223,12.5697774250313,-3.22146377013819,8.82654441949294,-3.73267973061312,20.4444434760465,25.1689325780907,5.50541208606533,-25.6225939647941,14.2016582316346,-8.25947584072983,2.1316282072803e-14
"Mmus_BAL-TAL_LRTN_GC_Rep1_G6",2.62050879769569,0.0954407252304423,2.0322601779506,-19.9901588404035,-23.8654431679988,-14.7421158857654,-23.2482908240581,-3.43634943104247,-12.2530245675269,-3.26115613379829,28.0575719550238,5.72049993145351,1.94289029309402e-14
"Mmus_BAL-TAL_LRTN_GC_Rep2_G8",-9.75272679199557,-7.14815440953394,-4.38556297101922,26.8349752484866,-10.680349127671,-38.0804645261336,11.2434179820833,-4.31468542189744,0.0361568668606023,-0.641967198033622,-10.814516276519,14.6473410478883,2.06501482580279e-14
"Mmus_BAL-TAL_LRTN_GC_Rep3_G9",-14.4738034858873,-9.3046038316643,6.21989733035927,0.230857441840349,-0.421671202951335,8.79437030947758,26.45584883079,-25.1652441982801,-19.918253747834,14.4166510920616,10.0146969110518,-17.2832203724491,2.17603712826531e-14
"Mmus_BAL-TAL_RRTN_GC_Rep4_G10",40.9986338676648,-5.39274689104265,-6.18879077068071,1.60408291562749,-10.4942729008829,6.82163533872857,16.4247679193366,0.884228170796871,31.4449149383469,10.3883749439826,13.6779405799705,1.89695628776801,1.66533453693773e-14
"Mmus_BAL-TAL_LRTN_FLT_Rep1_F6",-12.5375584982443,33.3469677157692,29.2357556189311,1.97978680666329,11.9315510065276,3.58461656354767,-10.3772339997008,-8.35012463308594,10.727020865621,20.1957594201438,-2.24674508831475,14.5415009301098,1.80966353013901e-14
"Mmus_BAL-TAL_LRTN_FLT_Rep2_F7",-18.9197533061511,-14.4028751679368,4.87611816110456,-2.64298391566833,-13.4383789993562,17.6135468428854,-9.86435656744229,-21.8317209967777,18.1777402571932,-26.0184595600323,-14.4098725060107,-0.0975327261213171,1.92068583260152e-14
"Mmus_BAL-TAL_LRTN_FLT_Rep3_F8",45.3658026854376,4.35165968085079,6.86109608593918,15.5359843411973,23.5611342091178,-0.624962644030156,-9.87742576965197,-10.0288233817341,-15.8841059261472,-19.0120435817911,-1.04816409879444,-4.38382940019666,1.93178806284777e-14
"Mmus_BAL-TAL_LRTN_FLT_Rep4_F9",16.5088756519185,2.68265377889026,15.763977814433,-5.56749863174555,-26.4708848847274,7.22408591902467,1.03633378009264,21.9435632501724,-14.0095159830054,7.35956230631824,-26.2093404677347,-9.87927121604836,1.75415237890775e-14
"Mmus_BAL-TAL_LRTN_FLT_Rep5_F10",-8.21912127085311,-44.432696356133,7.59585192492387,-3.37555351900203,20.6018595003433,8.49969038176387,-5.78489036382755,16.9247063643284,-3.93733411446927,8.8951411760892,2.25251954430831,17.1034320472147,9.43689570931383e-15
