"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30"
"GSM2775174",-11.5242981099496,-76.897719331307,22.822055350934,-2.83939534109363,22.3047178222332,-18.8465782955498,3.00121323541192,-0.341673251900362,-9.02447553289442,12.7629144050614,-3.24724623660402,-9.56097542086825,-3.72648625284012,-2.57595824652663,0.330416743017911,14.6429104690276,-37.284872575799,-10.8713819475946,-11.7335063150127,-13.6901744400464,12.1686190400324,14.4879096640452,1.74482158836155,-10.5614384395245,-4.89913340703466,-8.29578338814803,3.69644675830372,-2.4532329027298,-0.230348794826614,-4.92383911421257e-14
"GSM2775175",-62.9716274632382,-14.0920842681787,-6.52818950075087,5.49892906391054,11.5457554930782,0.702922121340296,6.18666485102696,-8.14655366423297,0.217805312122754,1.92626758966214,0.584935918277943,14.8739466126252,0.798058543379452,5.19238402674655,-1.97380473732884,14.4711722852559,-6.72125937304587,6.12995950746471,-12.1314334455348,7.42034512389086,-5.95598159627159,-26.9389691187451,-27.3382930149069,30.2646458071433,-18.2758557451788,-8.17963398458646,1.27640795564953,-5.79633510475551,1.84572393583108,-4.81914855243737e-14
"GSM2775176",-34.5419734119382,-38.5871386927074,24.8215197236352,-23.4157566701366,-19.9430714558238,5.05781803209508,43.3155513216117,-1.77237256938006,-17.5811744845957,-45.7733454532231,-23.052652690788,7.81704513107602,-4.70858742401583,-4.50676942975995,-0.0271588765348548,-0.259431655618408,15.7846325188552,2.46258490392418,-3.4454119782708,-2.22594725642476,-2.25443336536239,3.9020479176798,-1.0226047469531,-4.18227297412794,2.55900062404834,-1.30279424937799,1.31329457159776,-2.57131971238077,-5.0962044126392,-4.93702301262999e-14
"GSM2775177",-58.128605647821,10.7817161159868,-29.2122109361998,-7.18813720055558,14.1764945523178,2.81122599412082,14.5948658074625,-23.7391637141149,9.72677698966946,10.6688266626434,5.15132540539951,-3.36791673414006,6.15746795481774,2.56634952862158,-0.378309107989033,-6.21245770358138,2.46375590617372,4.41137695994337,-6.42440267565162,1.73395418318661,14.0671767881798,-5.67196296884638,-15.3619214074352,-18.0764870397209,29.8189882123249,8.50492174571029,3.88541517862473,-24.5580415663711,4.67309852199633,-4.54549592410203e-14
"GSM2775178",-39.6070614967037,-25.3932229351662,-6.46261295382328,9.88863696756048,22.0184448525448,-7.40484620393478,5.99497740941266,-14.8794352880191,-4.74228103691121,17.2281039828011,5.1407997949879,-4.20879979623602,-17.5124113417366,-16.374826487038,-10.6844986959475,17.1312176353664,18.6787999315085,-0.750918744947127,14.9212104755378,15.6359369216703,-3.72158914790929,5.50428488269497,-5.81989446996138,-1.57708630766204,11.1466944065401,0.208721533854697,-20.0418329209112,21.9835448555986,-15.9665605585306,-5.02931030155196e-14
"GSM2775179",-28.7906038413209,4.64979824952317,-2.59982645342022,-6.94743459726791,-5.34702429216752,3.16992958080835,0.878911342516135,9.98830081310908,-34.6933994480205,7.95170497885049,3.77019984278448,-1.08690782900152,5.7797634675445,-1.70814888027576,1.95123105794385,2.3261687076399,-6.04854801747667,-15.028744254608,16.451925602207,-11.3946942446895,14.9362230401848,-24.7486205941092,17.0008895710068,11.4593120279903,1.24955773433993,30.6787333505886,1.26844351547569,-1.33437101828749,-9.74754701583881,-4.86971574176209e-14
"GSM2775180",-32.1280112795696,0.701420814871144,10.4218155954893,-24.3286294011378,-35.5921684031855,3.04569190638449,25.3272487828795,21.5961140620498,3.64390557357797,37.2514310144546,0.145764104926133,-24.0140388200924,4.60963929054489,11.5901177418854,-20.307199989265,-27.7988902334263,-6.21293419815023,1.65088276637788,-0.380482108616229,3.86965419217028,-10.4869012649023,0.629980776228099,-7.60654799562652,2.17422768828459,-1.88196358698178,-5.660012360359,-1.81594270692199,6.0738755024404,-2.33649512502404,-4.92713508881693e-14
"GSM2775181",-56.4468028884215,-65.5336394956257,37.5441339360339,2.54132107523306,-4.51306178474326,-5.24649606476419,-48.9729404712904,-4.9769428695295,18.1044737922529,-11.3363298390493,-8.21747293861679,-12.093711769238,25.6703257573338,9.93912684622108,-1.79249401214248,-11.9772996157653,16.1558890280187,-3.91986283436031,12.1350828869623,2.09693750496941,-0.836525055183598,-5.17915316418009,-4.19260201527643,1.69530783160259,4.82905130187729,1.57223523974933,0.717534768123265,-1.95786541640134,-0.0638278595918635,-4.96720720111199e-14
"GSM2775182",-55.3748553506414,9.30293937113854,5.36215903998832,37.6583033533267,-30.3272980652031,3.86079190484281,-4.61272914451735,14.377356623714,-25.4310403542938,0.488860886110067,31.0624102746675,12.8265870325159,12.7060572336487,29.7511636553764,6.4570589616145,21.0685567594534,6.48431395509414,0.828966403569791,-13.2193994652069,8.03931204414155,-2.23385430438213,13.9989691934496,1.6552587465697,-9.57678271770758,4.50981880005781,-3.65949745716283,-1.16290962088265,-0.312576980132745,-0.89290154986763,-4.9439619065339e-14
"GSM2775183",-85.4672180338459,45.2367222817407,-15.0506121165611,-7.4702895577584,21.2100734080537,16.4341206526104,4.20871386551792,1.58396260155625,-5.1040155577795,-14.9325439120548,-7.74135620965634,3.54188413628081,15.2907842681427,3.65408722371621,3.99383894213158,-0.0875993546279297,-19.9674801988255,-15.8715385722764,30.7185830037874,2.67092442859577,-9.57782494711229,11.8027278748475,-3.3191911862029,-0.269374921516726,2.79936009688759,-9.73649711938589,1.96659304151992,11.932723636417,20.0197041019179,-4.95437024738976e-14
"GSM2775184",-69.5389974586033,4.55244778906407,-21.6347639624734,20.5638372240751,-0.492704675508955,0.938628372882203,12.0976523850098,-22.1245725952758,31.6360628890221,-7.68505031579512,-2.5631412450551,6.0391630342944,5.6906022738213,12.4989403400168,9.81470417311101,-17.8353792058819,-6.71893792525443,7.77764164316838,-16.3058558837538,-7.06342510158105,13.8922718573366,-5.38345822288519,20.6066940567125,-4.56731685944318,-12.0409216220761,4.28222640439059,-4.0339770420245,23.0985971368682,-6.69264484990673,-4.80344930497978e-14
"GSM2775185",-46.7420536355156,-18.6000696481994,-19.1452037548122,17.717472742732,5.57286795277128,-12.3480506220451,10.059464212498,-10.308405051279,6.02236152865708,16.4519105027765,0.465015818732773,-1.58554764132807,-11.5795269816489,-4.14672016212371,-7.46925433533197,1.40712012592539,23.0110891112841,-2.97941311830482,8.53762988477036,-5.7249725037401,-18.5910929968347,13.2968391081496,25.6003242890347,6.51542634278611,-17.2783055966448,2.85289861737602,13.9455125660193,-19.0139436018632,12.5962997807968,-5.27928395444022e-14
"GSM2775186",-65.7372625440307,4.25671206463144,-20.0130726813014,-1.81949240362544,14.8075343250267,18.5317267617025,-28.9559639682107,16.1360429595054,-33.1660636460591,-4.08709049614115,3.30728981330212,-11.9838311194688,-12.3484282901326,-28.4558506194184,12.9956354465089,-25.7338538456387,4.8830897802678,17.6973442209792,-18.7512799794417,-4.45331689819858,-0.847855143112522,4.30437543190681,-1.0610086833757,-1.41392633753495,-4.1907182885294,-7.16771810359298,-2.0187877692296,0.18412097529007,1.57511196620623,-4.68913102791291e-14
"GSM2775187",-57.6748492029711,-0.912151053145032,-22.5069977176413,-35.0424549745377,-40.5003248442423,-5.0282512214363,-19.3972631485115,25.4787728204334,36.2319986516068,-4.41335867307257,4.74712683665281,15.3653579912637,-23.2116288434463,-18.0464482941582,5.21187184648254,20.7002092903611,-8.59467155056899,-0.358472386869494,3.24286987638227,0.407169380022788,4.52780071980246,1.47645757172992,1.78065403302197,-1.20102025678833,3.80231028411464,2.45636700444709,-0.716153686685054,-2.17857928976814,0.938982647085267,-4.86555240541975e-14
"GSM2775188",90.2361412207573,-42.0062707241182,-31.8386295877786,-12.877243079065,-1.73932047064651,-22.9993328431141,-4.63694829332006,-2.60755349016342,-13.1729120032315,3.42293518839738,7.30086891542953,46.4906083067921,8.64017712875563,3.16780241115063,0.350975088941794,-28.2890174753081,-7.66969189200297,4.15868348838316,11.890268637818,8.80183030824702,-3.93037765335631,3.46660758301999,1.54657350755206,-1.36622924817117,0.573554534116675,-5.50200660182663,-7.09389757227455,-3.53453186114553,-3.37567814349916,-4.9592274731225e-14
"GSM2775189",48.170316490305,-3.28973972923388,-4.1404057664144,8.5002413147877,8.88655338935315,20.9759767757162,-5.98949943559223,7.74444085698726,0.364075205822255,-8.12331500626664,-3.18934523503286,1.05176103871878,5.10236740460223,-2.04755614812961,-41.9662670780388,10.9721263915278,-8.05071173731446,29.6268733681876,3.63097451583597,10.1684767434757,11.0816395179369,-3.14890896367576,15.3154827724954,3.65332710372732,9.49755218130398,-6.9073520333296,20.7442824875281,4.39477640656988,-1.78313263287355,-4.95072732809021e-14
"GSM2775190",66.86748370542,11.9924399822675,-25.4933155950588,11.0354211242395,-42.2030709671264,-3.50197364919382,-6.42337522328635,-27.3623178922296,-13.0721572170478,11.6949332405951,-32.1844467796515,-17.0303840269176,18.8516389909988,-12.4802238319739,15.5199641706234,15.2289345407942,-2.93435614979318,13.4282176323723,6.04687403597474,4.22415623180053,8.74777473368216,10.2144045580971,-8.10332004716471,1.8998474946819,-9.00289791389731,1.6629500271465,-1.66621312661751,0.515865852610465,3.56553235303309,-4.65634475421695e-14
"GSM2775191",24.9600577494604,28.8971800747712,24.1676195087345,-27.2136390481421,-0.427107261807767,28.0311845322702,-23.6478237703208,-31.7647603388905,-7.40651705984342,8.16011741314336,-13.3699010399216,10.4685606233823,-35.3187302903908,29.2520843878202,-3.54099261009882,-4.0949984108656,-2.59795343433783,-8.3726849359496,-6.81763413258285,3.38033548394758,1.00982954505538,13.3351132149331,1.30601535992568,7.31096372386954,0.0794323536561929,5.28544066874549,0.195290890514194,-1.95901182216713,-3.31968436047287,-4.96512553294082e-14
"GSM2775192",73.6095009804327,-25.9855310911291,-17.4385775582256,-11.1201397842089,10.5919938750513,4.09173193547289,6.42786312781676,5.69779726675291,4.75243776137757,-12.9754440683192,20.6507435946688,-29.0325399928718,-18.3493675647244,28.945062069174,25.7342007455115,5.49562373132589,-0.318322275279601,22.645981769665,21.3273008565121,-9.37552760816601,-5.53914382073327,-8.79614577649852,-2.01049644488988,-2.31737801470745,-2.53936438265691,-3.60812515183271,-1.11559433416945,-0.822168011069247,-0.873169130735966,-4.85896045621104e-14
