Sample Name	organism	paired_end	has_ERCC	Factor Value[Spaceflight]	Factor Value[Genotype]	Raw Data File (RNA Sequencing (RNA-Seq))	GLDS-#	Device Type	Characteristics[Organism]	Characteristics[ecotype]	Characteristics[Material Type]	Parameter Value[Hardware]	Parameter Value[light cycle]	Parameter Value[light regimen]	Parameter Value[Sample Preservation Method]	Parameter Value[Sample Storage Temperature]	Parameter Value[exposure duration]	Parameter Value[growth environment]	Parameter Value[ionizing radiation]	Parameter Value[vehicle]	Parameter Value[absorbed radiation dose]	Parameter Value[absorbed radiation dose rate]	Parameter Value[ionizing radiation categorized by source]	Rep #	Time	 Light	Treatment type
GSM4486055	Arabidopsis thaliana	False	False	Ground Control	bzip28-2 bzip60-1		GLDS-321		Arabidopsis thaliana	Col-0	Seedlings	BRIC-PDFU (Petri Dish Fixation Unit)	24 dark hour	continuous dark (no light) regimen	RNALater	-80 degree Celsius	 Not Applicable	ISS Environmental Simulator	non-irradiated	Not Applicable	 Not Applicable	 Not Applicable	Not Applicable	Rep 4	 	 	 
GSM4486056	Arabidopsis thaliana	False	False	Ground Control	bzip28-2 bzip60-1		GLDS-321		Arabidopsis thaliana	Col-0	Seedlings	BRIC-PDFU (Petri Dish Fixation Unit)	24 dark hour	continuous dark (no light) regimen	RNALater	-80 degree Celsius	 Not Applicable	ISS Environmental Simulator	non-irradiated	Not Applicable	 Not Applicable	 Not Applicable	Not Applicable	Rep 5	 	 	 
GSM4486057	Arabidopsis thaliana	False	False	Space Flight	ire1a-4 ire1b-2		GLDS-321		Arabidopsis thaliana	Col-0	Seedlings	BRIC-PDFU (Petri Dish Fixation Unit)	24 dark hour	continuous dark (no light) regimen	RNALater	-80 degree Celsius	13 day	ISS Environmental Simulator	space radiation	ISS-US Laboratory	3.007 milligray	0.231 milligray per day	Not Applicable	Rep 1	 	 	 
GSM4486058	Arabidopsis thaliana	False	False	Space Flight	ire1a-4 ire1b-2		GLDS-321		Arabidopsis thaliana	Col-0	Seedlings	BRIC-PDFU (Petri Dish Fixation Unit)	24 dark hour	continuous dark (no light) regimen	RNALater	-80 degree Celsius	13 day	ISS Environmental Simulator	space radiation	ISS-US Laboratory	3.007 milligray	0.231 milligray per day	Not Applicable	Rep 2	 	 	 
GSM4486059	Arabidopsis thaliana	False	False	Space Flight	ire1a-4 ire1b-2		GLDS-321		Arabidopsis thaliana	Col-0	Seedlings	BRIC-PDFU (Petri Dish Fixation Unit)	24 dark hour	continuous dark (no light) regimen	RNALater	-80 degree Celsius	13 day	ISS Environmental Simulator	space radiation	ISS-US Laboratory	3.007 milligray	0.231 milligray per day	Not Applicable	Rep 3	 	 	 
GSM4486060	Arabidopsis thaliana	False	False	Space Flight	ire1a-4 ire1b-2		GLDS-321		Arabidopsis thaliana	Col-0	Seedlings	BRIC-PDFU (Petri Dish Fixation Unit)	24 dark hour	continuous dark (no light) regimen	RNALater	-80 degree Celsius	13 day	ISS Environmental Simulator	space radiation	ISS-US Laboratory	3.007 milligray	0.231 milligray per day	Not Applicable	Rep 4	 	 	 
GSM4486061	Arabidopsis thaliana	False	False	Ground Control	ire1a-4 ire1b-2		GLDS-321		Arabidopsis thaliana	Col-0	Seedlings	BRIC-PDFU (Petri Dish Fixation Unit)	24 dark hour	continuous dark (no light) regimen	RNALater	-80 degree Celsius	 Not Applicable	ISS Environmental Simulator	non-irradiated	Not Applicable	 Not Applicable	 Not Applicable	Not Applicable	Rep 1	 	 	 
GSM4486062	Arabidopsis thaliana	False	False	Ground Control	ire1a-4 ire1b-2		GLDS-321		Arabidopsis thaliana	Col-0	Seedlings	BRIC-PDFU (Petri Dish Fixation Unit)	24 dark hour	continuous dark (no light) regimen	RNALater	-80 degree Celsius	 Not Applicable	ISS Environmental Simulator	non-irradiated	Not Applicable	 Not Applicable	 Not Applicable	Not Applicable	Rep 2	 	 	 
GSM4486063	Arabidopsis thaliana	False	False	Ground Control	ire1a-4 ire1b-2		GLDS-321		Arabidopsis thaliana	Col-0	Seedlings	BRIC-PDFU (Petri Dish Fixation Unit)	24 dark hour	continuous dark (no light) regimen	RNALater	-80 degree Celsius	 Not Applicable	ISS Environmental Simulator	non-irradiated	Not Applicable	 Not Applicable	 Not Applicable	Not Applicable	Rep 3	 	 	 
GSM4486064	Arabidopsis thaliana	False	False	Ground Control	ire1a-4 ire1b-2		GLDS-321		Arabidopsis thaliana	Col-0	Seedlings	BRIC-PDFU (Petri Dish Fixation Unit)	24 dark hour	continuous dark (no light) regimen	RNALater	-80 degree Celsius	 Not Applicable	ISS Environmental Simulator	non-irradiated	Not Applicable	 Not Applicable	 Not Applicable	Not Applicable	Rep 4	 	 	 
