Total Reads                   39
Total Tags                    42
Total Assigned Tags           36
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           1169802             3                   0.00              
5'UTR_Exons         962658              1                   0.00              
3'UTR_Exons         1658717             8                   0.00              
Introns             28945478            20                  0.00              
TSS_up_1kb          854805              0                   0.00              
TSS_up_5kb          3764141             1                   0.00              
TSS_up_10kb         6431897             4                   0.00              
TES_down_1kb        897960              0                   0.00              
TES_down_5kb        3730691             0                   0.00              
TES_down_10kb       6414154             0                   0.00              
=====================================================================
