"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13"
"Mmus_BAL-TAL_LRTN_BSL_Rep1_B7",-0.481660992927201,8.54787138123553,-9.34857861175843,3.39531722511405,-16.8047291666432,12.5963813550867,-1.8662142691065,6.68406545299722,0.293111266138897,19.6840465866843,38.0249960269127,3.09247443787505,1.93178806284777e-14
"Mmus_BAL-TAL_RRTN_BSL_Rep2_B8",-3.17233422338588,18.4769955134043,-18.1824317734948,-5.54960841106461,-24.2250462245211,-21.0789467474692,11.5489004990071,-10.7195688245047,-20.2526050974228,-17.3845929059433,-2.42830797026967,-7.07471974372866,1.99840144432528e-14
"Mmus_BAL-TAL_RRTN_BSL_Rep3_B9",11.8991599996341,-0.924302082340212,-18.6721263642406,-9.04093733442095,1.75638137179122,-5.77537002912539,-13.1042974165052,-29.0671057348858,17.6543441789083,12.4787436541864,-9.8371620858447,20.8319370627776,2.00395255944841e-14
"Mmus_BAL-TAL_RRTN_BSL_Rep4_B10",0.302557249913504,-18.5661967864399,-8.62859844225509,-1.64489395510745,1.06352056485886,9.38275789865977,13.2431272730541,6.1543951494731,24.190633555059,-33.5059442510968,10.1379315373447,5.23556581631138,1.7430501486615e-14
"Mmus_BAL-TAL_LRTN_GC_Rep1_G6",-7.71293851584449,17.8527090852038,-9.41185103140439,-27.0474670412048,28.4323518158482,13.4914480222277,21.1277792198819,5.95426348705826,-1.75310541419327,9.71103637924234,-5.87617620815745,-8.25915502166177,1.94289029309402e-14
"Mmus_BAL-TAL_LRTN_GC_Rep2_G8",13.2831825672712,-13.9945990093256,5.96237128782808,27.7254979535288,6.36506149080581,20.9233876005033,17.9629266846929,-19.7060759921847,-20.6202674088805,2.3957760197634,-4.53331463132566,1.76956248005221,1.93178806284777e-14
"Mmus_BAL-TAL_LRTN_GC_Rep3_G9",15.8835041891193,-2.21204313410982,-10.5643618158549,4.13997745205179,-20.3950144605325,13.7165353754664,-7.55720256574065,29.7181817793631,0.796359596812825,6.48597229981942,-26.8382456621013,-0.0661092958243724,2.22599716437344e-14
"Mmus_BAL-TAL_RRTN_GC_Rep4_G10",-14.8313614893502,5.31148700436107,14.2524651846555,4.97740837913988,-8.4163613566354,8.93033475104265,-12.966610474443,-16.1588191096131,18.2711492266854,0.838241929261263,-5.13675343958613,-33.6526964154691,3.02535774210355e-14
"Mmus_BAL-TAL_LRTN_FLT_Rep1_F6",-16.6579386484452,-3.67174590839056,39.03029316027,-18.7438244191027,-16.474274903908,-1.25362238230279,8.78643471491625,0.0691437314438554,-1.9333322683307,3.15257116587728,-4.45730727531623,19.6003863654954,1.81521464526213e-14
"Mmus_BAL-TAL_LRTN_FLT_Rep2_F7",18.239666219192,4.19903057299222,11.3264010595516,18.8703170251513,9.77271467295847,-33.7420614138237,16.5426704715871,10.9653318709999,15.0181220616276,11.342741483497,1.70544675797573,-4.71742971368031,1.64313007644523e-14
"Mmus_BAL-TAL_LRTN_FLT_Rep3_F8",-37.345559156601,-32.546943126948,-13.798978568064,4.06316770203152,9.66690071090401,-14.6938036244292,-9.3823693511441,7.12944327578894,-10.9359699638628,8.25753739924252,-0.790850681698477,-2.37712047999304,1.28230759344206e-14
"Mmus_BAL-TAL_LRTN_FLT_Rep4_F9",-13.339215916358,30.2747921013148,6.21402136712693,19.9389115902666,18.1245788333047,2.61596595984146,-21.9664038618639,6.93818356008137,-4.78202337970284,-15.1974642078604,-0.303841585835488,15.2845510924592,1.83186799063151e-14
"Mmus_BAL-TAL_LRTN_FLT_Rep5_F10",33.9329387177818,-12.7470556109576,11.8213745476401,-21.0838661663835,11.133916651769,-5.11300676567785,-22.3687409243361,2.03856135398261,-15.9464163528389,-8.25866555267331,10.333585217902,-9.66724658461347,1.27675647831893e-14
