Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
GSM4486058	GSM4486058_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	299.0	0.0	45-50	47.0	99.66555183946488	49.585284280936456	pass	pass	pass	fail	fail	warn	warn	pass	warn	pass
GSM4486059	GSM4486059_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	40-50	47.0	99.33333333333333	48.91	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
GSM4486060	GSM4486060_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	46-50	48.0	97.66666666666667	49.48	pass	warn	pass	fail	warn	pass	warn	pass	warn	pass
GSM4486061	GSM4486061_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	33-50	53.0	98.66666666666667	48.906666666666666	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
GSM4486062	GSM4486062_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	297.0	0.0	20-50	50.0	98.98989898989899	49.35690235690236	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
GSM4486063	GSM4486063_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	41-50	50.0	99.0	48.833333333333336	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
GSM4486064	GSM4486064_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	298.0	0.0	32-50	51.0	99.66442953020133	49.4496644295302	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
GSM4486065	GSM4486065_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	299.0	0.0	45-50	47.0	97.9933110367893	49.5685618729097	pass	pass	pass	fail	warn	warn	warn	pass	warn	pass
GSM4486066	GSM4486066_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	295.0	0.0	46-50	46.0	98.98305084745763	49.58983050847458	pass	pass	pass	fail	warn	warn	warn	pass	fail	pass
GSM4486067	GSM4486067_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	45-50	48.0	99.0	49.52333333333333	pass	warn	pass	fail	warn	warn	warn	pass	warn	pass
GSM4486068	GSM4486068_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	32-50	47.0	99.66666666666667	48.656666666666666	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
GSM4486069	GSM4486069_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	42-50	48.0	97.0	48.89333333333333	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
GSM4486070	GSM4486070_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	297.0	0.0	41-50	51.0	98.31649831649831	49.48821548821549	pass	warn	pass	fail	warn	warn	warn	pass	fail	pass
GSM4486071	GSM4486071_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	297.0	0.0	38-50	53.0	98.31649831649831	49.592592592592595	pass	warn	pass	fail	warn	pass	warn	pass	fail	pass
GSM4486072	GSM4486072_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	299.0	0.0	42-50	50.0	99.66555183946488	49.34448160535117	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
GSM4486073	GSM4486073_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	33-50	50.0	99.66666666666667	48.84	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
GSM4486074	GSM4486074_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	299.0	0.0	45-50	51.0	96.98996655518395	49.52173913043478	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
