"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14"
"Mmus_C57-6J_LVR_GC_I_Rep1_M31",-30.3377759695254,-19.4190587576219,30.4154439599524,-9.2006710899839,24.2011364612701,-2.50754149628225,-1.28647377377013,4.3949318354262,10.1952850210861,-5.25447723268337,-0.934670934943447,-6.56867163096733,1.60845916514085,2.06501482580279e-14
"Mmus_C57-6J_LVR_GC_I_Rep2_M32",18.2524225723354,32.0810698646546,26.604952848848,-13.7523006974601,-5.74330427652854,10.0789089548213,8.49854242143807,-12.6453161525474,4.29799334744857,-6.12947634420194,9.27089797895908,-15.4120245396232,1.14632078495483,2.1094237467878e-14
"Mmus_C57-6J_LVR_FLT_I_Rep1_M21",5.5724188206412,-7.49543951184907,-10.7491847081527,3.36012669994378,-10.3822525807628,-5.48353083748926,-9.26953648765279,0.495306538774689,17.4174745162892,21.6336173006167,-19.2527747606991,-30.7237586287382,3.8928303910424,1.7430501486615e-14
"Mmus_C57-6J_LVR_FLT_I_Rep2_M22",4.03527143484705,-9.97165457374642,-23.1987774224187,-6.58397103411313,-6.54812558243088,8.72614592439777,-11.9362750112045,8.64984001884034,16.9405101892433,-32.7026515585979,16.3045491795444,-4.58954603422986,2.83328936559492,2.18991491607312e-14
"Mmus_C57-6J_LVR_GC_C_Rep1_M36",5.25574195312655,-1.17821090352087,6.21723884448062,-12.0054824443273,-9.14165447392634,-9.72305744325359,-20.5798737067566,-5.89643329579137,-23.643907895025,-17.6084009381377,-28.9282250950162,6.79844877316963,0.93828698495111,1.67643676718399e-14
"Mmus_C57-6J_LVR_GC_C_Rep2_M37",8.24112524269497,-7.77049701286631,3.88580250336132,34.5954493655593,5.36798860170003,13.2637916080259,16.4459600616951,14.8943565939428,-21.7503213422263,-9.335887965012,-2.48126032605329,-13.3548954402548,2.19745896535721,2.38697950294409e-14
"Mmus_C57-6J_LVR_GC_C_Rep3_M38",7.39332287479374,-5.45890432524819,14.3618430920166,31.6954510114496,-10.6526041172017,-19.6091525579065,-6.97020755500015,-17.6446836088264,16.0304599614522,-1.40212756813126,7.80097073274667,16.595703614004,-6.88626205894732,2.00950367457153e-14
"Mmus_C57-6J_LVR_GC_C_Rep4_M39",4.12591506833632,4.58842956444302,-9.15458940905845,-3.92806817575015,9.6678112016357,18.5618365539514,16.2666438052886,1.62261133500591,15.7716191492417,0.689470575445317,-22.2048372750369,16.8262956180438,-25.6174957713481,2.06223926824123e-14
"Mmus_C57-6J_LVR_GC_C_Rep5_M40",6.03476501615544,-3.17665781905814,-10.2593534203339,-9.40827600467878,3.21713834838831,-16.8618025479801,29.3804892307808,-2.77798506232016,3.92732000630446,0.150717959432604,-4.6709702484574,12.2250394827943,30.8316923110657,1.80966353013901e-14
"Mmus_C57-6J_LVR_FLT_C_Rep1_M25",5.52195199410402,-16.771325265148,-12.7806869359749,-5.03457329812505,16.5114651755715,17.7124866975901,-7.84912549435391,-32.3513571739072,-14.4092054036878,13.5243753801183,12.7308641958716,0.953712059228008,1.46887216843612,2.18713935851156e-14
"Mmus_C57-6J_LVR_FLT_C_Rep2_M26",3.97109508910824,-10.2265873934436,-4.01824744582538,-17.071989690344,-8.2009170444625,-24.7295764500303,12.5511849600906,10.809526243593,-14.4464929666698,7.32098602903992,16.9592295167696,-5.61368130672129,-25.4032174365046,2.73947531326257e-14
"Mmus_C57-6J_LVR_FLT_C_Rep3_M27",-15.7465669223477,36.2807409716555,-19.0236131232391,10.177608967727,24.6101965199619,-15.4231608385854,-11.778897181793,3.76385413287303,-4.22326101010845,1.5389892045263,3.62159888809127,-1.55283985399789,-0.658747326269698,3.20785065177631e-14
"Mmus_C57-6J_LVR_FLT_C_Rep4_M28",16.2816566894724,0.937892777711422,10.9983028454267,-4.69230169485619,0.0955832331786967,11.0819682767819,-18.7055251375807,29.1587033790687,-0.066769842756733,20.4960381794156,8.25063135429772,18.4985989805497,10.0486280207707,1.34336985979644e-14
"Mmus_C57-6J_LVR_FLT_C_Rep5_M30",-38.6013438637423,7.58020238403795,-3.29913162908251,1.84899808495899,-33.0024614663934,14.912684155959,5.23309386881863,-2.47335478413212,-6.0407037305915,7.07882697816939,3.53399679392592,5.91761890674313,3.59988443575593,-1.19904086659517e-14
