"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16"
"GSM589450",-54.8926168155957,-38.3559450441843,21.101961177474,4.06266616589711,1.37110139506869,-2.89722657163955,5.6531475727497,0.0682330261508186,-6.16907946109595,4.76272305742481,2.19899255931364,9.13470092280792,-10.8705220097715,9.79122924211713,-4.41082706414457,8.00054467120503e-14
"GSM589451",-54.6931419968993,-41.8929702344305,20.0122933922032,4.09056105169525,1.35157495409483,-3.80472374307633,4.52836186194868,0.595173972290822,-5.34698120068349,0.56015469285374,0.8600307629256,5.66681662633236,0.671569441771455,-5.65354580741168,13.3877403711359,7.82152120848423e-14
"GSM589452",-59.1495797358602,-40.6290059251376,20.6332481081039,6.55167585482778,1.2181388210119,-3.54965992470481,4.16649997836916,-0.243592262033148,-4.05028465847241,-2.02982860694509,-1.75029307694749,1.45433361816698,5.23251839863212,-11.5194686031106,-9.8964622707507,7.82290898726501e-14
"GSM589453",-53.3007912430981,-41.4941876795349,18.0762561095418,5.04260097198958,-1.13580656624645,-2.46521262454313,1.63338862601851,1.20894385419897,-3.66469973455657,-2.00443298744026,-2.02402681361547,-17.1301455395192,4.57156463807911,7.72640274955858,1.04345252212766,7.89507348386564e-14
"GSM589454",-12.3274834904444,11.4878300827288,-35.1188544756862,-58.0886402597247,-36.4349967928947,-5.7250648878379,33.2313462294876,1.15124628937957,-9.39109327733561,-2.56806917189422,0.148264359006006,-0.035610707296951,0.248816565389619,-0.0823050602228459,-0.179024160504126,7.89646126264643e-14
"GSM589455",-11.9149836645793,28.4500109221091,-26.5459900718734,-16.1048812114989,73.5352323646822,-14.8909884444375,10.9286396188351,1.90151032651925,-5.01319716175736,0.489983465384286,-0.563524858493648,-0.619478423183409,0.188133343901616,0.0954893068023073,-0.0189014759894921,7.97417687437019e-14
"GSM589456",-12.0926686591131,32.9189930139893,-46.4749829514239,67.4231300953868,-16.1405823660868,-10.4251917154951,24.2678902057638,2.13666139157418,-0.451311912732467,0.498671103451159,0.398377533944787,-0.107992367645915,-0.108870951637159,0.0473324622745447,0.181737915764791,7.9132880803634e-14
"GSM589457",-8.04118651108736,16.5464236010567,-29.9515758284909,-0.462244610410385,-9.84589909528637,1.65742245651147,-49.2781698424143,6.58198441050865,-35.4189596148802,-1.99697419304971,0.102699798421823,0.0840609665699645,-0.849354922958715,-0.49795426342656,-0.113359859629698,7.88952236874252e-14
"GSM589458",158.076795045423,-86.7837604027872,-27.1883020275381,3.14646922586345,5.27490966779283,4.54278685483871,0.583435669128212,-3.98526925405406,1.881740758331,0.227000481528137,-0.0735814325439253,0.355121156781268,-0.0202600265892235,-0.066620301013898,-0.264167275680479,7.31706362167017e-14
"GSM589459",57.6715788830254,36.3590331224733,38.9329835388899,3.2875978152303,2.31297589697033,33.2581255611349,13.3520354879424,42.809061545643,-6.73425723043769,0.88206399088322,-0.197210105519989,-0.132311817785533,0.316584428802019,-0.253239828537998,-0.0475616493375291,7.92213517009088e-14
"GSM589460",42.0116644780737,44.4166745233794,34.1283786509908,4.47226571570844,1.25775678884558,23.2778764586651,9.11143308150623,-47.2018621643037,-14.8172303578054,0.295772982893847,-0.15959722247445,-0.914217313592891,-0.236893180314477,-0.340767198319141,0.209623124743331,7.96376853351433e-14
"GSM589461",70.9377535631765,34.5004029001257,42.7221019011439,-2.69913142151336,-12.2614629960463,-57.5420792699328,-9.49928521240803,3.1080323016805,6.63071530857912,-0.694157467944893,0.0529391172606286,-0.083687481200438,-0.170356479689173,0.00267875544724063,-0.0353710967001075,7.7715611723761e-14
"GSM589462",-15.8955132668948,11.8082630140888,-11.2350818092137,-9.29512717938712,-5.90317464415191,8.35530698486958,-12.889466127049,-1.43647985154823,20.8913743615255,24.834341863666,-1.24866911985425,-6.1859114935529,-7.14853674051532,-5.06879246625672,0.222110133274727,7.97070742741823e-14
"GSM589463",-15.7379988733799,9.18638666698635,-5.03430589406559,-3.85890189878734,0.718612634624786,10.6204372728274,-11.3330743619599,-1.77269988733508,21.4669665919192,-13.2936816465193,19.0695471144772,-1.54227364028975,-0.981992148087397,-0.824289591068234,-0.393585880297008,7.88882847935213e-14
"GSM589464",-15.7592566314604,11.1389654149776,-6.5340457081967,-2.4004221057449,-1.56880324675572,11.248635465423,-11.4538765859766,-1.83064684657907,23.4285835857566,-19.0890062716184,-14.8974103963836,1.27709824833033,-5.34022640535635,-0.0708032366749852,0.66842962935372,7.83678677507282e-14
"GSM589465",-14.8925710812857,12.3428860241593,-7.52408411185886,-5.16761820953205,-3.74957681562287,8.33955612739707,-13.0023062019415,-3.09029685209244,16.7577140036457,9.12543870732666,-1.91653821951682,8.7794972450782,14.4978260483434,6.71465383984286,-0.353832963366449,7.93462517911792e-14
